Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
HAT-P-9,3.92281072,238.05467000000002,15.614,0.342,1540.0,931.0,12.297,6350.0,1.28,1.34,1.6,
HAT-P-25,3.65281514,180.84527,12.722000000000001,0.483,1182.0,325.0,13.19,5519.0,1.01,0.92,3.2,
HAT-P-29,5.72319,279.6904,13.115,0.79,1271.0,433.0,11.9,6087.0,1.45,1.3,2.2,
HAT-P-32,2.1500082,216.1244,22.194000000000003,0.108,1836.0,1841.0,11.289000000000001,6001.0,1.13,1.37,2.7,
Kepler-117,18.7959228,29.875,8.059,0.3,984.0,157.541,14.247,6150.0,1.13,1.61,5.3,
Kepler-117,50.790391,584.78,12.341,1.74,704.0,41.863,14.247,6150.0,1.13,1.61,5.3,
Kepler-120,6.312501,8.5,2.15,4.7,576.0,42.692,14.719000000000001,4096.0,0.72,0.53,3.63,
Kepler-120,12.794585,2.96,1.53,4.54,455.0,16.625,14.719000000000001,4096.0,0.72,0.53,3.63,
Kepler-125,4.164389,6.21,2.37,2.56,594.0,33.184,14.767999999999999,3810.0,0.53,0.51,3.8,
Kepler-186,3.8867907,1.24,1.07,5.56,579.0,37.372,14.599,3755.0,0.54,0.52,4.0,
Kepler-186,7.267302,2.1,1.25,5.91,470.0,13.98,14.599,3755.0,0.54,0.52,4.0,
Kepler-186,13.342996,2.54,1.4,5.09,384.0,7.204,14.599,3755.0,0.54,0.52,4.0,
Kepler-205,2.75564,2.89,1.51,4.61,672.0,102.562,13.495,4321.0,0.6,0.55,3.16,
Kepler-205,20.306546,3.33,1.64,4.15,345.0,7.14,13.495,4321.0,0.6,0.55,3.16,
Kepler-210,2.453234,8.96,2.94,1.94,734.0,122.139,13.804,4559.0,0.77,0.65,1.78,
Kepler-210,7.972513,12.8,3.62,1.48,495.0,25.44,13.804,4559.0,0.77,0.65,1.78,
Kepler-128,15.09,0.77,1.43,1.46,970.0,227.398,11.289000000000001,6136.0,1.09,1.61,4.07,
Kepler-128,22.804,0.9,1.34,2.07,845.0,130.979,11.289000000000001,6136.0,1.09,1.61,4.07,
Kepler-130,27.50868,8.75,2.9,1.97,683.0,46.011,11.825,5884.0,1.02,1.13,5.89,
Kepler-138,13.7813,1.97,1.197,6.2,398.0,4.63,12.472000000000001,3841.0,0.52,0.44,4.68,
Kepler-138,23.0881,0.64,1.212,2.1,335.0,2.32,12.472000000000001,3841.0,0.52,0.44,4.68,
Kepler-144,5.885273,2.33,1.33,5.44,1287.0,426.719,11.944,6075.0,1.13,1.24,3.02,
Kepler-144,10.104665,2.39,1.35,5.34,1075.0,207.247,11.944,6075.0,1.13,1.24,3.02,
Kepler-155,5.931194,5.02,2.09,3.02,614.0,19.0,14.24,4508.0,0.72,0.62,2.9,
Kepler-155,52.661793,5.65,2.24,2.76,286.0,1.28,14.24,4508.0,0.72,0.62,2.9,
Kepler-159,10.139623,6.26,2.38,2.55,448.0,33.463,14.888,4625.0,0.76,0.66,2.51,
Kepler-159,43.595792,11.5,3.41,1.59,275.0,4.791,14.888,4625.0,0.76,0.66,2.51,
Kepler-167,4.3931632,3.24,1.615,4.23,914.0,115.8,14.0,4890.0,0.77,0.73,3.3,
Kepler-167,7.406114,3.01,1.548,4.46,768.0,57.7,14.0,4890.0,0.77,0.73,3.3,
HAT-P-36,1.32734683,587.41341,14.314,1.175,1781.0,1821.0,12.262,5620.0,1.03,1.04,6.6,
HD 7924,5.39792,6.3566,2.4,2.53,826.0,113.7,7.185,5131.0,0.65,0.78,0.88,
HD 7924,15.299,7.86,2.72,2.15,584.0,28.35,7.185,5131.0,0.65,0.78,0.88,
HD 7924,24.451,6.44,2.42,2.5,499.0,15.17,7.185,5131.0,0.65,0.78,0.88,
Kepler-20,3.69611525,9.7,1.868,8.2,1105.0,324.114,12.51,5495.0,0.95,0.96,7.6,
